] c0      1 i2c-core: driver [pn544] using legacy suspend method
<6>[   30.167099] c0    901 [DISP] brightness orig=52, transformed=26
<6>[   30.171585] c0    844 kgsl: kgsl_driver.stats.page_alloc = 3002368
<6>[   30.171616] c0    844 kgsl: kgsl_driver.stats.page_alloc_kernel = 32768
<6>[   30.171616] c0    844 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   30.171616] c0    844 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   30.183946] c0    843 [DISP] brightness orig=50, transformed=25
<6>[   30.201251] c0    898 [DISP] brightness orig=47, transformed=23
<6>[   30.217823] c1    899 [DISP] brightness orig=45, transformed=22
<6>[   30.235708] c0    900 [DISP] brightness orig=42, transformed=20
<6>[   30.251579] c1    901 [DISP] brightness orig=40, transformed=19
<6>[   30.268609] c0    843 [DISP] brightness orig=38, transformed=17
<6>[   30.285823] c1    898 [DISP] brightness orig=35, transformed=16
<6>[   30.303494] c1    899 [DISP] brightness orig=33, transformed=14
<6>[   30.320555] c0    900 [DISP] brightness orig=30, transformed=13
<6>[   30.339600] c0    900 [DISP] brightness orig=29, transformed=13
<6>[   30.439645] c0    108 [MPDEC]: CPU[3] off->on | Mask=[1111]
<6>[   30.553425] c0    833 [USB] show_is_usb_denied: 0
<6>[   30.553425] c0    833 
<6>[   31.031100] c1    936 kgsl: kgsl_driver.stats.page_alloc = 3002368
<6>[   31.031100] c1    936 kgsl: kgsl_driver.stats.page_alloc_kernel = 32768
<6>[   31.031130] c1    936 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   31.031130] c1    936 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   31.076392] c1    936 mtp_open
<6>[   31.076636] c1    936 [USB] show_os_type: 2
<6>[   31.076636] c1    936 
<6>[   31.627132] c3    844 ion_client_create: create ion_client (ndroid.systemui) at dc526d80
<6>[   32.101052] c2   1176 alarm 3 set 92.082000000
<6>[   32.115305] c2   1182 task_comm_list_store: Add zygote to monitor list tail successfully
<6>[   32.115458] c2   1182 task_comm_list_store: Add system_server to monitor list tail successfully
<6>[   32.264703] c0    166 ehci_hsic_bus_suspend: Suspend RH
<6>[   32.264916] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   32.264947] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   32.265038] c0    166 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   32.292690] c1   1187 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.292690] c1   1187 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.292720] c1   1187 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.292720] c1   1187 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.294124] c3   1205 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.294124] c3   1205 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.294124] c3   1205 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.294155] c3   1205 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.305722] c3   1215 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.305753] c3   1215 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.305753] c3   1215 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.305753] c3   1215 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.611109] c0   1215 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.611139] c0   1215 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.611139] c0   1215 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.611139] c0   1215 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.753303] c1    219 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   32.753425] c1    219 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   32.753486] c0    671 msm_hsic_resume_thread: Resume RH
<6>[   32.784678] c2    219 usb usb1: usb_resume_both[1023] resume intf n:1
<6>[   32.800915] c2    219 usb 1-1: usb_resume_both[1023] resume intf n:9
<6>[   32.824202] c0    998 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.824233] c0    998 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.824233] c0    998 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.824233] c0    998 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.824385] c0    998 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.824385] c0    998 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.824385] c0    998 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.824416] c0    998 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.865740] c0   1154 kgsl: kgsl_driver.stats.page_alloc = 7745536
<6>[   32.865740] c0   1154 kgsl: kgsl_driver.stats.page_alloc_kernel = 98304
<6>[   32.865771] c0   1154 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   32.865771] c0   1154 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   32.878559] c0   1315 [NFC] pn544_dev_open : major=10, minor=80
<6>[   32.878925] c0   1315 [NFC] pn544_dev_ioctl power on (delay50)
<6>[   32.878925] c0   1315 [NFC] pn544_Enable: gpio=57 set_value=0
<6>[   32.935052] c0   1315 [NFC] pn544_dev_ioctl power off (delay50)
<6>[   32.935052] c0   1315 [NFC] pn544_Disable: gpio=57 set_value=1
<6>[   33.004669] c1   1315 [NFC] pn544_dev_ioctl power on (delay50)
<6>[   33.004700] c1   1315 [NFC] pn544_Enable: gpio=57 set_value=0
<6>[   33.737189] c3    718 usb_wwan_close
<7>[   33.784404] c1    693 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 99
<6>[   33.784404] c1    693 [MDM][COMM] mdm_modem_ioctl: efs sync is done
<7>[   33.784434] c1    693 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 100
<6>[   33.784434] c1    693 [MDM][COMM] mdm_modem_ioctl: NV write done!
<6>[   33.802502] c2   1435 usb_wwan_open
<6>[   34.013337] c2    998 alarm 1 set 1379869200.000000000
<6>[   34.014741] c0    744 alarm 1 set 1379906280.000000000
<6>[   34.365573] c2    659 [VIB_PWM]pm8xxx_vib_enable vibrate period: 0 msec
<6>[   34.365603] c2    659 [VIB_PWM]pm8xxx_vib_set_off 
<6>[   34.368441] c2    659 [LED]pm8xxx_led_gpio_set, bank:1, brightness:1 sync: 1
<6>[   34.368808] c2    659 [LED]pm8xxx_led_blink_store: bank 1 blink 0 sync 1
<6>[   34.368808] c2    659 [BB] blink value: 0
<6>[   34.369571] c2    659 [LED]Setting amber off_timer to 0 min 0 sec 
<6>[   34.369662] c2    659 [LED]pm8xxx_led_gpio_set, bank:0, brightness:0 sync: 1
<6>[   34.369845] c2    659 [LED]pm8xxx_led_blink_store: bank 0 blink 0 sync 1
<6>[   34.369845] c2    659 [BB] blink value: 0
<6>[   34.369967] c2    659 [BB] blink off  screen: 1 j: 4294940732 
<6>[   34.370059] c2    659 [LED]Setting green off_timer to 0 min 0 sec 
<6>[   34.770334] c2   1231 ion_client_create: create ion_client (om.htc.launcher) at dc096f80
<3>[   35.343537] c3      1 init: cannot find '/system/bin/bootcomplete', disabling 'bootcomplete'
<6>[   35.872424] c2    659 alarm 2 set 2700.000000000
<6>[   36.205585] c3    969 ion_client_create: create ion_client (screen.shortcut) at dbcdec80
<6>[   36.412238] c2    997 alarm 2 set 1907.595000000
<6>[   36.527727] c2    997 alarm 2 set 41.509000000
<6>[   36.530993] c2   1500 alarm 2 set 41.512000000
<6>[   36.532763] c3   1365 alarm 2 set 41.514000000
<6>[   36.549000] c3   1365 alarm 2 set 41.530000000
<6>[   36.549824] c2    637 alarm 2 set 41.531000000
<6>[   36.844040] c2   1078 alarm 0 set 1379907980.533000000
<6>[   37.264855] c0    166 ehci_hsic_bus_suspend: Suspend RH
<6>[   37.265038] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   37.265069] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   37.265191] c0    166 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
